APDEKBOSUN1,AP,apdbosun,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,G8SKX53,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APDEKBRGCONSOLE,AP,apdbridg,No,5.00.9078.1006,GrandPrincess,Dell Inc.,OptiPlex 3050,FVNTCS2,2/4/2023,Microsoft Windows 10 Enterprise,10.0.19044
APDEKBRIDGE1,AP,apdbridg,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7DR3X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APDEKBRIDGE2,AP,apd2off2,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,G7RLX53,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APDEKCAPTOFF,AP,apdcapt1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3050,J09ZCS2,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APDEKCLERK1,AP,apddclk1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,G83KX53,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APDEKENVLAP1,AP,apdevof1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,Latitude 5400,1ZSGP13,5/18/2023,Microsoft Windows 10 Enterprise,10.0.19044
APDEKENVOFF1,AP,apdevof1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3050,9HMMXK2,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APDEKFIRSTOFF1,AP,apd1off1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7HF6X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APDEKNAPAELOG,AP,apdbridg,Yes,5.00.9106.1000,GrandPrincess,LENOVO,10AAS0J300,MJ02J1TZ,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APDEKSAFETY1,AP,apd3off1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7F88X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APDEKSAFETY2,AP,apd3off1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,CKM7X63,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APDEKSAFETYOFF1,AP,apdsoff1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,G8QDX53,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APDEKSNR2OFF,AP,apd2off1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7GG9X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APDEKSTATBRD,AP,apdbridg,Yes,5.00.9106.1000,GrandPrincess,LENOVO,10AAS0J300,MJ02RPM3,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
