APEXCHANGE,VMware-42 36 ec c5 65 ae ac 21-6b 82 67 03 0f d6 5f 7c,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2016 Standard,,GrandPrincess,,aphcmpo1,SCCM,5/23/2023
AP-FNB-ASSTFNB,78V1X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphhimg1,SCCM,5/22/2023
APFNBASTPRVOFF1,7FV1X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphprov1,SCCM,5/22/2023
APFNBBARAGCLAP1,37VRF13,Dell Inc.,Latitude 5400,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphdclk,SCCM,5/4/2023
APFNBBARAGCLAP2,63RKP13,Dell Inc.,Latitude 5400,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphafbd1,SCCM,5/22/2023
AP-FNB-BARMGR,G87MX53,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphafbd1,SCCM,5/23/2023
AP-FNB-BELLBOX,GR158M2,Dell Inc.,OptiPlex 3050,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphafbd5,SCCM,5/23/2023
APFNBDIROFF01,B100JL2,Dell Inc.,OptiPlex 3050,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphs1pf1,SCCM,5/22/2023
AP-FNB-INVMGR,G7SKX53,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphhimg1,SCCM,5/23/2023
APFNBJNRFNB,J0DYCS2,Dell Inc.,OptiPlex 3050,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphjapuf,SCCM,5/23/2023
APFNBPRVMSTOFF1,G6GHX53,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,Aphbev1,SCCM,5/23/2023
AP-FS1,VMware-42 36 2c 26 c3 fe 46 97-03 93 20 3d 13 de 64 b1,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2019 Standard,,GrandPrincess,,aphcmpo1,SCCM,5/23/2023
APGALCHEFASOFF1,7DJ4X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,APHASCHF,SCCM,5/22/2023
APGALCHEFOFF1,GR238M2,Dell Inc.,OptiPlex 3050,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphchef1,SCCM,5/22/2023
APGALSCHEFLAP1,D6HHZY2,Dell Inc.,Latitude 7480,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphchef2,SCCM,5/23/2023
APGALSCHEFOFF1,G7HGX53,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphgsup1,SCCM,5/23/2023
APGENESIS,VMware-42 36 b7 a8 26 62 31 53-c5 72 86 79 ea ee 77 7c,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2016 Standard,,GrandPrincess,,aphcmpo1,SCCM,5/22/2023
APGSTCCH,7Q61X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,APHCCH1,SCCM,5/22/2023
APGSTDCMOFF1,G7PFX53,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphicmg1,SCCM,5/22/2023
APGSTGSMOFF1,G8BDX53,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphsapa1,SCCM,5/23/2023
APGSTHGMCAB1,J09YCS2,Dell Inc.,OptiPlex 3050,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphpsdr1,SCCM,11/30/2022
APGSTHGMOFF1,GQM28M2,Dell Inc.,OptiPlex 3050,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphpsdr1,SCCM,5/23/2023
APGSTLINENOFF1,7GC9X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphlin1,SCCM,5/22/2023
APGSTOBSMOFF1,7G21X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphobsm1,SCCM,5/22/2023
APGSTOBSMOFF2,163T9K3,Dell Inc.,Latitude 5420,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphobsm1,SCCM,5/9/2023
APGSTOBSMOFF3,8ZQGHW3,Dell Inc.,Latitude 5430,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphobsm1,SCCM,5/23/2023
APGSTOBSMOFF4,CXQGHW3,Dell Inc.,Latitude 5430,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphobsm1,SCCM,5/22/2023
APGSTPRINTSHOP1,7HW5X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphaprtr,SCCM,5/23/2023
APGSTPRINTSHOP2,7RM1X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphcmgts,SCCM,5/23/2023
APGSTZEBRADESK1,7CS7X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,purserap,SCCM,5/23/2023
AP-GSVC-ADMIN,8F8MRD2,Dell Inc.,OptiPlex 3040,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphapur4,SCCM,5/22/2023
AP-GSVC-AHGM,79J8X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphahgm1,SCCM,5/23/2023
AP-GSVC-AITO,J0KXCS2,Dell Inc.,OptiPlex 3050,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphcmpo2,SCCM,5/7/2023
AP-GSVC-AITO,7BJ9X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphcmpo2,SCCM,5/22/2023
AP-GSVC-BBD,6ZQKP13,Dell Inc.,Latitude 5400,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphbdir1,SCCM,5/23/2023
AP-GSVC-CALCTR1,7BS7X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphjapu3,SCCM,1/19/2023
AP-GSVC-DCMLAP,PC08N4WH,LENOVO,20BWS1VY00,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphicmg1,SCCM,5/22/2023
AP-GSVC-GSD,7S398M2,Dell Inc.,OptiPlex 3050,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphs1pa1,SCCM,5/23/2023
AP-GSVC-GSS,8F9FRD2,Dell Inc.,OptiPlex 3040,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphfds1,SCCM,5/22/2023
AP-GSVC-HGM,JG922G3,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphpsdr1,SCCM,5/21/2023
AP-GSVC-HTLCLK,78H4X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphapurh,SCCM,5/23/2023
AP-GSVC-HTLCTRL,GQL18M2,Dell Inc.,OptiPlex 3050,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphhoct1,SCCM,5/22/2023
AP-GSVC-HTLSTR,G7GFX53,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,APHCHLS1,SCCM,5/23/2023
AP-GSVC-ITO,7H18X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphcmpo1,SCCM,5/23/2023
APGSVCLAP,5NGRK13,Dell Inc.,Precision 5540,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphcmpo1,SCCM,5/23/2023
AP-GSVC-LEADNAV,9J380R2,Dell Inc.,Latitude 5400,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphlnav1,SCCM,5/22/2023
AP-GSVC-SANITAT,CLG2X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphpho,SCCM,5/22/2023
APHKPCLERKOFF1,CHF8X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphacclk,SCCM,5/23/2023
APHKPCRAREAOFF1,79R7X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphcrsp1,SCCM,5/23/2023
APHKPEXEHKPOFF1,7CJ9X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphacmg1,SCCM,5/23/2023
APHKPLAUNDOFF1,7B92X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphlnd1,SCCM,5/23/2023
APHKPOFF1,7G68X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphacsp4,SCCM,5/23/2023
APHKPPBAREAOFF1,78D4X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphaste2,SCCM,5/23/2023
APHRSCREWTRAIN1,7FX1X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,ctuser,SCCM,5/23/2023
APHRSCREWTRAIN2,7B74X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,ctuser,SCCM,5/23/2023
APHRSCREWTRAIN3,7D83X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,ctuser,SCCM,5/23/2023
